"","model_spec","sid","method","regression_type","hajek","a","alpha","mean_est","mean_bias","coverage","failures","ase","ese","nsims"
"79","tmis_omis",9,"ipw","none",FALSE,0,0.1,0.611251938624482,-0.0950943789669217,0.0730659025787966,0,0.666390030033678,7.6616442157923,698
"80","tmis_omis",9,"ipw","none",FALSE,0,0.5,1.29682180292148,0.190475485330076,0.411174785100287,0,0.0900354522615414,0.0861992331230787,698
"81","tmis_omis",9,"ipw","none",FALSE,0,0.9,1.84289764811747,0.336551330526063,0.547277936962751,0,1.27984303446267,3.47382252491689,698
"82","tmis_omis",9,"ipw","none",FALSE,1,0.1,3.09795435853328,0.391608040941876,0.106017191977077,0,3.37543096575647,37.1008379553329,698
"83","tmis_omis",9,"ipw","none",FALSE,1,0.5,2.96009672600946,-0.146249591581944,0.746418338108882,0,0.118554911709028,0.111078299317542,698
"84","tmis_omis",9,"ipw","none",FALSE,1,0.9,3.88010714430352,0.37376082671212,0.376790830945559,0,2.97372758586531,18.103231647914,698
"85","tmis_omis",9,"otc","none",FALSE,0,0.1,0.843162782874378,0.136816465282975,0.858166189111748,0,0.176898782004681,0.177202526447421,698
"86","tmis_omis",9,"otc","none",FALSE,0,0.5,1.28496969789257,0.178623380301169,0.216332378223496,0,0.0640406407092996,0.0658638725940754,698
"87","tmis_omis",9,"otc","none",FALSE,0,0.9,1.72677661291077,0.220430295319364,0.614613180515759,0,0.132276800674969,0.129869651201301,698
"88","tmis_omis",9,"otc","none",FALSE,1,0.1,2.48057036757349,-0.225775950017915,0.773638968481375,0,0.195211038956079,0.193490492843998,698
"89","tmis_omis",9,"otc","none",FALSE,1,0.5,2.92237728259168,-0.183969034999721,0.269340974212034,0,0.0712672484854191,0.0714746641970399,698
"90","tmis_omis",9,"otc","none",FALSE,1,0.9,3.36418419760988,-0.142162119981527,0.753581661891118,0,0.112465733343071,0.111218014185946,698
"91","tmis_omis",9,"wls_dbr","wls",FALSE,0,0.1,1.31968874653606,0.613342428944654,0.445558739255014,0,0.858774210775019,2.41381226452304,698
"92","tmis_omis",9,"wls_dbr","wls",FALSE,0,0.5,1.2949277587022,0.188581441110792,0.275071633237822,0,0.0707368434828199,0.0735904963992991,698
"93","tmis_omis",9,"wls_dbr","wls",FALSE,0,0.9,1.97878269071171,0.472436373120302,0.422636103151862,0,0.391920050418802,1.07348069166654,698
"94","tmis_omis",9,"wls_dbr","wls",FALSE,1,0.1,3.2379773537929,0.531631036201499,0.438395415472779,0,1.3736059838417,3.90192873300835,698
"95","tmis_omis",9,"wls_dbr","wls",FALSE,1,0.5,2.92565463819515,-0.180691679396258,0.45702005730659,0,0.0867133199232998,0.0902200531016464,698
"96","tmis_omis",9,"wls_dbr","wls",FALSE,1,0.9,3.44453773066483,-0.0618085869265715,0.445558739255014,0,0.186564793741139,0.562993948623487,698
